"University Of Texas At Austin","Chemistry","PhD (F19)","Rejected"," E-mail","27 Mar 2019","","","","","","A","26 Mar 2019","Just says denied."
"Northeastern University","Chemistry And Chemical Biology","PhD (F19)","Rejected"," Website","20 Feb 2019","","","","","","A","20 Feb 2019","E-mail to check the website where I found a standard rejection letter."
"University Of Pennsylvania","Chemistry","PhD (F19)","Rejected"," E-mail","20 Feb 2019","","","","","","A","20 Feb 2019",""
"University Of Michigan","Chemistry","PhD (F19)","Rejected"," E-mail","6 Feb 2019","  3.53","159","166","5.00","780","A","20 Feb 2019",""
"UPenn","Chemistry","PhD (F19)","Rejected"," E-mail","20 Feb 2019","  3.95","165","162","4.50","730","A","20 Feb 2019",""
"University Of Pennsylvania","Chemistry","PhD (F19)","Rejected"," E-mail","20 Feb 2019","","","","","","A","20 Feb 2019",""
"Georgetown University","Chemistry","PhD (F19)","Accepted"," E-mail","19 Feb 2019","  3.51","162","158","3.50","","U","19 Feb 2019","Acceptance via email. 32,000 annual stipend. Very excited!"
"University Of Southern California","Chemistry","PhD (F19)","Accepted"," E-mail","22 Jan 2019","  3.00","151","321","99.99","","I","19 Feb 2019","One LOR from great PI
Contact one of the faculty before and interviewed
"
"Massachusetts College Of Pharmacy And Health Sciences","Medicinal Chemistry","Masters (F19)","Accepted"," E-mail","20 Jan 2019","  3.40","144","159","3.00","","I","19 Feb 2019","without fundings"
"University Of Florida","Chemistry","PhD (F19)","Accepted"," E-mail","6 Feb 2019","  3.46","158","151","5.00","","A","19 Feb 2019","2 years undergraduate research, no publications, 1 presentation"
"University Of Florida","Organic Chemistry","PhD (F19)","Accepted"," E-mail","19 Feb 2019","  3.91","157","160","4.50","720","U","19 Feb 2019","$25,000 yearly stipend + tuition waived + health insurance. My safety school. Still waiting on a couple more schools before making a final decision."
"University Of Houston","Chemistry","PhD (F19)","Accepted"," E-mail","5 Feb 2019","  3.64","153","162","3.50","","I","19 Feb 2019",""
"University Of Maryland (College Park)","Chemistry","PhD (F19)","Accepted"," E-mail","7 Feb 2019","  3.60","160","160","4.00","","I","19 Feb 2019",""
"Rensselaer Polytechnic Institute","Chemistry","PhD (F19)","Accepted"," E-mail","25 Jan 2019","  3.60","160","160","4.00","","I","19 Feb 2019",""
"University Of Delaware","Chemistry","PhD (F19)","Accepted"," E-mail","19 Feb 2019","  3.74","152","161","3.50","","I","19 Feb 2019","Interviewed last week."
"University Of Illinois, Chicago (UIC)","Chemistry","PhD (F19)","Accepted"," E-mail","7 Feb 2019","  3.74","152","161","3.50","","I","19 Feb 2019",""
"Virginia Commonwealth University (VCU)","Chemistry","PhD (F19)","Accepted"," E-mail","29 Jan 2019","  3.60","160","160","4.00","","I","19 Feb 2019","$24k/year with full tuition waiver + $1000 bonus"
"Montana State University","Chemistry","PhD (F19)","Accepted"," E-mail","31 Jan 2019","  3.64","153","162","3.50","","I","19 Feb 2019",""
"Montana State University","Chemistry","PhD (F19)","Accepted"," E-mail","13 Dec 2018","  3.74","152","161","3.50","","I","19 Feb 2019",""
"University Of South Carolina","Chemistry","PhD (F19)","Accepted"," E-mail","20 Jan 2019","","","","","","A","18 Feb 2019",""
"University Of Maryland College Park","Chemistry","PhD (F19)","Accepted"," E-mail","14 Feb 2019","","","","","","A","18 Feb 2019",""
"City University Of New York (CUNY)","Chemistry","PhD (F19)","Accepted"," E-mail","25 Jan 2019","  3.44","167","165","0.00","","A","18 Feb 2019",""
"WUSTL","Chemistry","PhD (F19)","Other"," E-mail","18 Feb 2019","","","","","","O","18 Feb 2019","To the post below, they emailed me first."
"New York University GSAS (NYU)","Chemistry","PhD (F19)","Other"," E-mail","18 Feb 2019","","","","","","A","18 Feb 2019","To the post below. I applied NYU last year. They sent me rejection in end of March. They said reviewing more than 200 applications take time to review. Some people got in April too, keep your hope."
"University Of Illinois At Urbana-Champion","Chemistry","PhD (F19)","Rejected"," Other","17 Feb 2019","","","","","","I","17 Feb 2019","I emailed my POI. He told me they can not admit me to their program owning to my low spoken English proficiency, and the formal decline notice will be sent in a few weeks. Upset, but not unexpected."
"Washington University (WUSTL)","Chemistry","PhD (F19)","Other"," POST","17 Feb 2019","","","","","","O","17 Feb 2019","To the post below, so do you mail them first then they got you back?
I am curious has anyone received their ad, or they will post the results including ad, waitlist, and rejection at the same time."
"WUSTL","Chemistry","PhD (F19)","Other"," E-mail","17 Feb 2019","","","","","","O","16 Feb 2019","To the post below I received email from them two weeks ago saying they have completed the reviews of all applicants and they have a waitlist. Sadly I was on the waitlist and they said they will get back to me but don’t know when. I guess after they figure out they waitlist they will
Reject all people together"
"Columbia University","Chemistry","PhD (F19)","Wait listed"," Website","12 Feb 2019","","","","","","A","16 Feb 2019","Columbia is my first choice. Hopefully luck is on my side and there is not a long waitlist."
"Carnegie Mellon University","Chemistry","PhD (F19)","Other"," Other","16 Feb 2019","","","","","","I","16 Feb 2019","Are there any Chemistry CMU applicants still waiting for a decision? I have seen a handful of acceptances go out during December, but nothing after that. I have contacted the department a couple of times, but no one is answering. I was wondering if any one of you guys has any news."
"University Of Pennsylvania","Chemistry","PhD (F19)","Other"," Other","16 Feb 2019","","","","","","I","16 Feb 2019","I also emailed graduate admission coordinator 3 days ago and was informed that my application is under review. I was not accepted, not rejected, not interviewed, not wait-listed.... so what could be my status? Guys, if UPenn is not your first choice please reject the offer then we can get in (hopefully)."
"University Of Pennsylvania","Chemistry","PhD (F19)","Other"," E-mail","16 Feb 2019","","","","","","","16 Feb 2019","To the Upenn poster before, I have joined an skype interview with POI 2 weeks ago. Yesterday the graduate coordinator told me my application is still underreview. And I want to know how you guys know you are wait listed. Is there an e-mail or some else?"
"WUSTL","Chemistry","PhD (F19)","Other"," Other","16 Feb 2019","","","","","","O","16 Feb 2019","to the post below, nothing heard..."
"University Of Virginia","Chemistry","PhD (F19)","Interview"," E-mail","16 Feb 2019","","","","","","","16 Feb 2019","Nope not yet, although they told me the result will be out within a week."
"University Of Virginia","Chemistry","PhD (F19)","Other"," Other","16 Feb 2019","","","","","","I","16 Feb 2019","To the poster who have been interviewed by UVa: thanks for your information, did you receive the result of the interview?"
"University Of Virginia","Chemistry","PhD (F19)","Interview"," E-mail","30 Jan 2019","","","","","","","16 Feb 2019","To the Virginia poster below, I was interviewed on the 14th."
"University Of Virginia","Chemistry","PhD (F19)","Other"," Other","16 Feb 2019","","","","","","I","16 Feb 2019","Anyone else heard anything from UVa recently, admission or rejection or interview?
"
"Washington University (WUSTL)","Chemistry","PhD (F19)","Other"," Other","16 Feb 2019","","","","","","O","15 Feb 2019","Has anyone whether domestic or international student heard any news from WUSTL chemistry? According to historical record, they usually invite people for an interview around end of Jan or beginning of Feb."
"University Of Pittsburgh","Chemistry","PhD (F19)","Accepted"," E-mail","29 Jan 2019"," ","155","160","4.00","","I","15 Feb 2019",""
"University Of Alabama","Chemistry","PhD (F19)","Accepted"," E-mail","15 Jan 2019"," ","155","160","4.00","","I","15 Feb 2019",""
"Wayne State University","Chemistry","PhD (F19)","Accepted"," E-mail","15 Jan 2019"," ","155","160","4.00","","I","15 Feb 2019",""
"Florida International University","Chemistry","PhD (F19)","Accepted"," E-mail","1 Feb 2019"," ","153","312","4.00","","I","15 Feb 2019","toefl 111"
"Old Dominion University (ODU)","Chemistry","PhD (F19)","Accepted"," E-mail","1 Feb 2019","","","","","","I","15 Feb 2019",""
"New York University ( NYU)","Chemistry","PhD (F19)","Other"," Other","15 Feb 2019","","","","","","U","15 Feb 2019","Anyone else heard anything from NYU recently or still waiting for a decision? They mailed out most acceptances already (apparently based on the stats on here), but almost no rejections yet."
"University Of Florida","Chemistry","PhD (F19)","Other"," Other","15 Feb 2019","","","","","","U","15 Feb 2019","Anyone else heard anything from UF recently or still waiting for a decision (specially those who applied by the priority deadline and not rolling)? They only mailed out a few acceptances so far and almost no rejections apparently, which I thought was weird."
"Boston College","Chemistry","PhD (F19)","Other"," Other","15 Feb 2019","","","","","","U","15 Feb 2019","Anyone else heard anything from BC recently or still waiting for a decision?"
"University Of Pennsylvania","Chemistry","PhD (F19)","Other"," Other","15 Feb 2019","","","","","","I","15 Feb 2019","Is there any international student receiving offer from UPenn yet? I have not received any notice from this school so far :("
"University Of Chicago","Chemistry","PhD (F19)","Rejected"," Website","3 Jan 2019","  3.75","163","160","5.00","","U","14 Feb 2019",""
"Tulane University","Chemistry","PhD (F19)","Accepted"," E-mail","12 Feb 2019","  3.90","154","159","3.00","","I","14 Feb 2019","Full Scholarship with Full tuition waiver + TA ship , I was reached  earlier by a professor who congratulated me."
"University Of Alberta (U Of A)","Chemistry","PhD (F19)","Rejected"," E-mail","14 Feb 2019","  3.81","157","165","3.50","760","I","14 Feb 2019","3 years of research, 2 author publications, top 10% of class, contacted a PI beforehand."
"University Of Pennsylvania (UPenn)","Chemistry","PhD (F19)","Rejected"," E-mail","14 Feb 2019","  3.40","156","154","4.50","","","14 Feb 2019","Huge bummer considering all of the Always Sunny I watched for this. happy valentines day everyone!"
"Rice University","Chemistry","PhD (F19)","Rejected"," E-mail","14 Feb 2019","  3.60","157","4","99.99","","U","14 Feb 2019","Weird. Got admitted into much better schools. Oh well."
"Stanford University","Chemistry","PhD (F18)","Accepted"," E-mail","23 Jan 2018","  3.80","149","168","3.00","910","I","14 Feb 2019","4 1st-author publications (and co-1st)
1 1st-author manuscript in preparation"
"Ohio State University","Chemistry","PhD (F19)","Accepted"," E-mail","14 Feb 2019","","","","","","I","14 Feb 2019","Has anyone got any info about the stipend they'll offer? I've just got the mail that I am accepted"
"Rice University","Chemistry","PhD (F19)","Rejected"," E-mail","14 Feb 2019","  3.15","162","165","3.50","840","I","14 Feb 2019","Two 2nd authored pubs. 1.5 years of research experience, decent GRE and TOEFL and good LORs.  One drawback was that I wanted to work on chemical biology which is not a major theme in Rice. Rice's strong point is materials/nanomaterials."
"University Of Pennsylvania","Chemistry","PhD (F19)","Wait listed"," E-mail","12 Feb 2019","","","","","","I","14 Feb 2019",""
"Rice University","Chemistry","PhD (F19)","Rejected"," E-mail","13 Feb 2019","  3.80","143","167","3.50","","I","13 Feb 2019","3 first author publications and 3 under review. 4 years research experience. But no background of chemistry. Still waiting for chemical engineering!"
"Rice University","Chemistry","PhD (F19)","Rejected"," Website","13 Feb 2019","","","","","","","13 Feb 2019","Received an email to check the application status on the website and got a rejection. I think related research is more important for Rice. Well, the result is what I can expect  :("
"University Of Pittsburgh","Chemistry","PhD (F19)","Other"," Other","14 Feb 2019","","","","","","","13 Feb 2019","Person who received the chair fellowship, was your acceptance sent out Feb 8 or Jan 8/9?

I have seen acceptances that were sent out in Jan, but you are the first person to claim a decision since jan 8/9.

Congratulations on the fellowship!"
"Yale University","Chemistry","PhD (F19)","Rejected"," Website","11 Feb 2019","","","","","","A","13 Feb 2019",""
"University Of Pittsburgh","Chemistry","PhD (F19)","Accepted"," E-mail","8 Feb 2019","","","","","","A","13 Feb 2019","Offered Chair's Fellowship"
"Florida State University (FSU)","Chemistry","PhD (F19)","Accepted"," E-mail","23 Dec 2018","","","","","","A","13 Feb 2019",""
"Ohio State University","Chemistry","PhD (F19)","Accepted"," Website","14 Feb 2019","  3.60","152","161","3.00","","I","13 Feb 2019","To two friends which told they found they are admitted below! I faced the same situation just admitted on website!! no email no interview not even know which division I'm admitted!!! really weird :|"
